title_fa,title_en,open_jobs,category,company_size,company_site,year
لابراتوار نوآوری شهر آینده , FUture City Innovation Lab,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,futurecity.ir,None
داده پردازی تونا , Tuna Dataset,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,emam8.com,None
انجمن صنفی کارفرمایی فروشندگان کالای آرایشی، بهداشتی و عطریات , Efpacs,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,efpacs.ir,None
موسسه خدمات دارویی رضوی , Razavi Pharmaceutical Service Institute,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.rpsi.ir,None
افرا ماینر , Afra Miner,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,aframiner.com,None
پارسی تک , parsytech,۱,معماری و عمران,۱۱ تا ۵۰ نفر,www.parsytech.ir,None
فروشگاه پارسا , Parsa,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,None,None
ایرانورم , Iran ORM,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
داده پردازی کاروتک , KaroTek IT,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
امیننس , Eminence,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,www.eminencepass.com,None
ارز گرام , Arzgram,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,arzgram.com,None
استودیو نما , Studio Namaa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,studionamaa.ir/,None
راهیان طب صبا , Rahyan Teb Saba(RTS),۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,bidarmed.com/,None
آژانس بازاریابی خلاق ثنانور  , Sana Noor,۵,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,sananoor.co,None
دیپلمات بتن کیش , Diplomat,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,None,None
کیمیا اکسیر مهرآوین , kimia exir mehravin,۱,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,iran-coating.com/,None
آسیا استیل کیان , Asia Steel Kian,۱,واردات و صادرات,۲ - ۱۰ نفر,asiasteel.ir/,None
هوا صنعت تهران , HAVA SANAT TEHRAN,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,WWW.HAVASANATCO.COM,None
تدبیر ارتباطات پاسارگاد , Tadbir Ertebatat Pasargad,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
سامانه هوشمند مشاوره تخصصی آرین , Smart Arian Consultancy System,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
پرشین گرد , Persiangard,۱,گردشگری و هتل‌ها,۱۱ تا ۵۰ نفر,None,None
بهینه پرداز شکوفا  , Behine Pardaz Shekofa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.bpshco.com,None
گروه پرداخت الکترونیک اکسین , Oxin Electronical Payment Group,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
دینا استیل کاوه  , Dina Steel Kave,۱,تولید و صنایع,۵۱ تا ۲۰۰ نفر,None,None
رایان نیک تجهیز , Rayan Nik Tajhiz,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ارتباطات ثابت پارسیان  , Iran SCP,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
موسسه علوم پزشکی سنا , Medical Sana,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,None,None
اندیشه آگهی , Andisheh Agahi,۱,رسانه و انتشارات,۱۱ تا ۵۰ نفر,www.andishehagahi.com/,None
سی اف تی , Cft,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آرتیمان , artiman,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
بليت مستر , Bilit Master,۱,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,bilitmaster.com,None
گلدیس آسانبر پارس , Goldis Asanbar Pars,۱,معماری و عمران,۱۱ تا ۵۰ نفر,None,None
بهین سافت , Behin Soft,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
اگزریا | فضای نمایشگاهی دیجیتال  , EXAREA | Digital Exhibition Area,۱,رسانه و انتشارات,۲ - ۱۰ نفر,exarea.ir,None
موبایل دولوپر , Devmobile,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,Devmobile.ir,None
بادی فیت , Bodyfit,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,None,None
درنیکا , Dornika,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,www.dornikaapp.ir,None
